phase	map	n	avg_exp_time_sec	avg_velocity_mps	avg_tm_s	avg_max_tm_s	run_ids
after_average	cave	5	1137.722	2.849	0.096992	0.159009	20260530_164400,20260530_170258,20260530_172143,20260530_174111,20260530_175950
after_average	garage	5	744.025	3.307	0.060673	0.127184	20260530_184601,20260530_185807,20260530_191117,20260530_192316,20260530_193534
