map	n	mean_exp_time_sec	mean_avg_vel_mps	mean_avg_tm_s	mean_max_tm_s	run_ids
cave	5	1137.722	2.849	0.096992	0.159009	20260530_164400,20260530_170258,20260530_172143,20260530_174111,20260530_175950
garage	5	744.025	3.307	0.060673	0.127184	20260530_184601,20260530_185807,20260530_191117,20260530_192316,20260530_193534
